,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-05-05 15:33:46,2026-05-05 15:30:07,83511.0,2230.0,24695.0,1514.0,55935.0,13219.0,48899.0,110342.0,2026-04-01 19:12:33,4.6.2-stable,14651944.0,106948.0,68.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3786.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-05-01 09:03:15,2026-05-01 09:00:21,2579.0,34.0,1328.0,64.0,990.0,76.0,493.0,11836.0,2026-04-22 13:46:23,1.3.0,,6188750.0,20.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",22241.0,22241.0,579.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,6188750.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-05-06 04:03:59,2026-05-06 03:35:37,11380.0,717.0,4490.0,309.0,13904.0,2704.0,5531.0,45934.0,2026-03-02 01:24:58,0.18.1,,,53.0,A refreshingly simple data-driven game engine built in Rust.,25791.0,25791.0,1555.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-05-05 19:36:36,2026-05-05 19:35:56,4629.0,563.0,1475.0,125.0,536.0,154.0,1688.0,13358.0,2026-04-24 23:03:38,3.8.0,1000701.0,18194.0,47.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5369.0,5369.0,114.0,38,True,1.0,,,,,,,,,,,,,,,
4,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4524.0,573.0,914.0,681.0,2729.0,18145.0,2022-07-18 20:11:48,1.8.1,691035.0,6644.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",441.0,441.0,244.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,4.0,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-05-06 06:16:43,2026-04-24 06:52:42,6709.0,28.0,4407.0,262.0,2236.0,1139.0,5158.0,13920.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1115.0,1115.0,198.0,32,True,1.0,,,,,,,,,,,,,,,
6,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-05-06 10:25:44,2026-05-05 23:27:32,34771.0,365.0,1290.0,168.0,17728.0,679.0,6087.0,4022.0,2026-04-17 17:24:45,1.52.1,57061.0,445.0,89.0,Model-based design and verification for robotics.,,,278.0,32,True,1.0,,,,,,,,,,,,,,,
7,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-05-05 01:35:20,2026-05-04 07:55:32,13077.0,677.0,499.0,66.0,1437.0,91.0,1093.0,3334.0,2026-04-13 12:17:49,4.0.0,106969.0,493396.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,117.0,32,True,1.0,pin,https://pypi.org/project/pin,492592.0,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,Apache-2.0,2023-10-31 03:33:11,2026-05-03 22:11:53,2026-05-03 22:11:53,1369.0,248.0,2653.0,222.0,1451.0,103.0,904.0,28621.0,2026-04-11 19:36:55,0.4.6,,,23.0,A generative world for general-purpose robotics & embodied AI learning.,114.0,114.0,88.0,31,True,1.0,,,,,,Genesis-Embodied-AI/genesis-world,,,,,,,,,
9,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-05-05 15:04:43,2026-04-30 02:45:07,26799.0,67.0,2441.0,147.0,11230.0,3413.0,4568.0,9084.0,2026-01-27 17:16:49,2510.2,11596.0,199.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,328.0,29,True,2.0,,,,,,,,,,,,,,,
10,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-05-05 15:04:43,2026-04-30 02:45:07,26799.0,67.0,2441.0,147.0,11230.0,3413.0,4568.0,9084.0,2026-01-27 17:16:49,2510.2,11596.0,199.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,328.0,29,True,1.0,,,,,,,,,,,,,,,
11,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-05-05 15:04:43,2026-04-30 02:45:07,26799.0,67.0,2441.0,147.0,11230.0,3413.0,4568.0,9084.0,2026-01-27 17:16:49,2510.2,11596.0,199.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,328.0,29,True,1.0,,,,,,,,,,,,,,,
12,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2026-03-26 23:13:27,2026-03-26 23:13:24,1758.0,1.0,8209.0,1041.0,1468.0,113.0,1726.0,37178.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,21.0,21.0,385.0,28,False,1.0,,,,,,,,,,,,,,,
13,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2026-05-01 18:18:50,2026-05-01 18:18:50,13282.0,45.0,1011.0,150.0,2645.0,150.0,804.0,4558.0,2026-01-31 18:14:28,14.5.2,3739.0,33.0,86.0,"high-performance rendering backend (C++, Python, C#, Java).",,,342.0,28,True,2.0,,,,,,,,,,,,,,,
14,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-05-05 23:30:50,2026-05-04 13:30:21,15746.0,15.0,1941.0,75.0,4701.0,230.0,1677.0,4333.0,2025-02-04 12:36:33,R2025a,1851136.0,20799.0,17.0,Webots Robot Simulator.,,,143.0,28,True,1.0,,,,,,,,,,,,,,,
15,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-05-05 23:30:50,2026-05-04 13:30:21,15746.0,15.0,1941.0,75.0,4701.0,230.0,1677.0,4333.0,2025-02-04 12:36:33,R2025a,1851136.0,20799.0,17.0,Webots Robot Simulator.,,,143.0,28,True,2.0,,,,,,,,,,,,,,,
16,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2026-05-06 09:46:17,2026-05-06 09:46:05,19478.0,415.0,570.0,110.0,354.0,12.0,362.0,2829.0,2026-04-07 12:38:32,10.0.0,9210.0,150.0,7.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,146.0,28,True,1.0,,,,,,,,,,,,,,,
17,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-10-22 02:13:14,2025-10-22 02:13:14,9405.0,,2981.0,403.0,1944.0,262.0,1793.0,14452.0,2022-04-24 23:54:27,3.25,5587.0,45.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,2.0,,,,,,,,,,,,,,,
18,mjlab,mujocolab/mjlab,,ml,https://github.com/mujocolab/mjlab,https://github.com/mujocolab/mjlab,Apache-2,2025-06-10 02:34:09,2026-05-06 10:20:21,2026-05-04 19:10:55,995.0,276.0,331.0,20.0,626.0,16.0,248.0,2227.0,2026-04-14 22:05:30,1.3.0,,19500.0,6.0,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.",,,45.0,27,True,1.0,mjlab,https://pypi.org/project/mjlab,19500.0,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,,,,,,,
19,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2026-05-06 05:52:21,2026-05-05 17:47:29,1564.0,16.0,3377.0,62.0,2160.0,395.0,2019.0,7097.0,2026-03-17 06:38:37,3.0.0-beta,,,21.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,202.0,26,True,2.0,,,,,1.0,,,,,,,,,,
20,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2026-05-04 21:26:44,2026-05-04 21:25:56,410.0,21.0,332.0,32.0,122.0,90.0,321.0,3148.0,2026-03-15 22:31:45,0.14.2,,,37.0,Massively parallel rigidbody physics simulation on accelerator hardware.,571.0,571.0,54.0,26,True,2.0,,,,,,,,,,,,,,,
21,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/avianphysics/avian,Apache-2.0,2022-05-29 11:28:38,2026-05-03 15:37:01,2026-05-03 15:37:01,1144.0,17.0,241.0,15.0,558.0,155.0,228.0,2915.0,2026-03-23 01:54:21,0.6.1,,,18.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,374.0,374.0,81.0,26,True,2.0,,,,,,avianphysics/avian,,,,,,,,,
22,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2026-05-06 11:31:07,2026-05-06 09:33:40,1830.0,602.0,508.0,39.0,1524.0,183.0,964.0,4843.0,2026-04-15 07:30:05,1.1.0,16.0,16.0,2.0,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,60.0,25,True,2.0,,,,,,,,,,,,,,,
23,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2026-02-24 01:27:10,2026-02-24 01:27:06,1662.0,18.0,516.0,79.0,1768.0,206.0,639.0,3653.0,2026-02-12 23:56:33,0.3.3,,,27.0,"A flexible, high-performance 3D simulator for Embodied AI research.",75.0,75.0,63.0,25,True,2.0,,,,,-1.0,,,,,,,,,,
24,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2026-04-07 18:30:53,2026-04-07 18:30:53,1420.0,5.0,833.0,26.0,125.0,72.0,411.0,3243.0,2025-10-18 14:15:47,1.10.2,,8149.0,17.0,A minimalist environment for decision-making in autonomous driving.,,,49.0,25,True,1.0,highway-env,https://pypi.org/project/highway-env,8149.0,,1.0,,,,,,,,,,
25,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2026-05-05 15:18:01,2026-05-05 15:17:53,6039.0,44.0,554.0,59.0,490.0,42.0,328.0,2040.0,2026-04-09 10:09:06,1.3.0,36732.0,503.0,22.0,An open source flight dynamics & control software library.,,,72.0,25,True,2.0,,,,,,,,,,,,,,,
26,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,248.0,19.0,66.0,167.0,75.0,1465.0,,,,397550.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3164.0,3164.0,23.0,25,True,3.0,pyrender,https://pypi.org/project/pyrender,397550.0,,,,,,,,,,,,
27,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2026-05-06 05:36:50,2026-04-24 13:28:03,3803.0,88.0,251.0,28.0,170.0,197.0,426.0,911.0,2026-04-24 14:36:44,3.0.3,29848.0,382.0,80.0,a basic OpenSCENARIO player.,,,91.0,25,True,2.0,,,,,,,,,,,,,,,
