,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-03-11 09:53:36,2026-03-11 09:53:28,82112.0,2222.0,24096.0,1509.0,54745.0,13027.0,48335.0,107637.0,2026-02-16 20:26:38,4.6.1-stable,14143924.0,104769.0,66.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3727.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-03-08 10:09:29,2026-03-08 10:05:59,2557.0,30.0,1290.0,64.0,963.0,75.0,492.0,11491.0,2025-12-18 16:50:37,1.2.3,,5820796.0,19.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",21608.0,21608.0,574.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,5820796.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-03-11 01:32:58,2026-03-11 01:04:13,10897.0,648.0,4381.0,312.0,13290.0,2674.0,5358.0,45005.0,2026-03-02 01:24:58,0.18.1,,,53.0,A refreshingly simple data-driven game engine built in Rust.,25538.0,25538.0,1513.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-03-11 01:53:34,2026-03-10 23:21:14,4300.0,454.0,1359.0,118.0,484.0,151.0,1676.0,12299.0,2026-03-11 01:53:34,3.6.0,926876.0,17488.0,45.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5204.0,5204.0,109.0,38,True,1.0,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8211.0,1043.0,1467.0,113.0,1727.0,37083.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,69085.0,69085.0,384.0,33,False,1.0,,,,,,,,,,,,,,,
5,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4500.0,579.0,917.0,681.0,2732.0,18006.0,2022-07-18 20:11:48,1.8.1,679768.0,6664.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",437.0,437.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
6,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-03-11 09:59:04,2026-03-10 20:25:06,34522.0,239.0,1275.0,168.0,17482.0,682.0,6029.0,3934.0,2026-02-17 22:07:11,1.50.0,96696.0,767.0,85.0,Model-based design and verification for robotics.,,,275.0,32,True,1.0,,,,,,,,,,,,,,,
7,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2026-03-11 08:44:08,2026-03-11 08:44:08,1230.0,271.0,2593.0,227.0,1267.0,98.0,866.0,28256.0,2026-03-06 13:52:10,0.4.1,,,18.0,A generative world for general-purpose robotics & embodied AI learning.,106.0,106.0,85.0,31,True,1.0,,,,,,,,,,,,,,,
8,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-03-11 10:31:00,2026-02-25 09:40:29,6683.0,5.0,4336.0,263.0,2157.0,1135.0,5117.0,13646.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1108.0,1108.0,193.0,31,True,1.0,,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-03-10 14:11:58,2026-03-10 14:11:58,9969.0,39.0,473.0,66.0,1417.0,95.0,1085.0,3146.0,2026-01-05 14:02:59,3.9.0,95500.0,683840.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,104.0,30,True,1.0,pin,https://pypi.org/project/pin,683111.0,,-1.0,,,,,,,,,,
10,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-03-11 05:04:49,2026-03-10 21:44:22,26771.0,80.0,2407.0,147.0,11156.0,3409.0,4534.0,8988.0,2026-01-27 17:16:49,2510.2,11340.0,202.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,325.0,29,True,2.0,,,,,,,,,,,,,,,
11,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-03-11 05:04:49,2026-03-10 21:44:22,26771.0,80.0,2407.0,147.0,11156.0,3409.0,4534.0,8988.0,2026-01-27 17:16:49,2510.2,11340.0,202.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,325.0,29,True,1.0,,,,,,,,,,,,,,,
12,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-03-11 05:04:49,2026-03-10 21:44:22,26771.0,80.0,2407.0,147.0,11156.0,3409.0,4534.0,8988.0,2026-01-27 17:16:49,2510.2,11340.0,202.0,19.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,325.0,29,True,1.0,,,,,,,,,,,,,,,
13,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2026-03-01 11:47:17,2026-03-01 11:47:17,13245.0,121.0,1016.0,150.0,2623.0,148.0,801.0,4508.0,2026-01-31 18:14:28,14.5.2,3738.0,33.0,86.0,"high-performance rendering backend (C++, Python, C#, Java).",,,341.0,28,True,2.0,,,,,,,,,,,,,,,
