,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
102,SMaRC 2,smarc-project/smarc2,,maritime,https://github.com/smarc-project/smarc2,https://github.com/smarc-project/smarc2,BSD-3-Clause and MIT,2024-02-14 14:14:23,2026-07-01 12:01:10,2026-07-01 12:01:09,1990.0,117.0,38.0,1.0,342.0,5.0,27.0,19.0,2025-06-05 08:08:29,0.5-C2only,48.0,1.0,2.0,smarc ros2-humble main repository.,,,31.0,13,True,2.0,,,,,,,,,,,,,,,
103,DexterousHands,PKU-MARL/DexterousHands,,domain,https://github.com/PKU-MARL/DexterousHands,https://github.com/PKU-MARL/DexterousHands,Apache-2.0,2022-03-30 01:29:41,2025-02-18 13:47:57,2025-02-18 13:47:57,224.0,,130.0,16.0,3.0,36.0,12.0,1063.0,,,,,,This is a library that provides dual dexterous hand manipulation tasks through Isaac Gym.,5.0,5.0,9.0,12,True,2.0,,,,,,,,,,,,,,,
104,Deepdrive,deepdrive/deepdrive,,ml,https://deepdrive.io/,https://github.com/deepdrive/deepdrive,,2017-11-21 17:28:45,2023-10-03 21:34:17,2020-06-29 19:31:52,831.0,,149.0,58.0,19.0,35.0,29.0,925.0,2018-05-17 21:36:53,2.0,,,1.0,Deepdrive is a simulator that allows anyone with a PC to push the state-of-the-art in self-driving.,,,6.0,12,True,3.0,,,,,,,,,,,,,,,
105,Unreal Robotics Lab,URLab-Sim/UnrealRoboticsLab,,robotics,https://urlab-sim.github.io/UnrealRoboticsLab/,https://github.com/URLab-Sim/UnrealRoboticsLab,Apache-2,2026-04-06 15:07:16,2026-06-28 11:39:46,2026-06-28 11:39:43,96.0,96.0,44.0,6.0,55.0,2.0,14.0,467.0,,,,,,"A high-fidelity, open-source robotics simulator integrating Unreal Engines photorealistic rendering with MuJoCos..",,,3.0,12,True,3.0,,,,,,,,,,,,,,,
106,rotorpy,spencerfolk/rotorpy,[],aerial,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,MIT,2023-03-15 18:55:42,2026-04-25 00:14:56,2026-04-22 22:31:29,259.0,2.0,56.0,6.0,16.0,7.0,20.0,283.0,2026-03-14 17:27:32,2.1.2,20.0,1.0,7.0,A multirotor simulator with aerodynamics for education and research.,,,10.0,12,True,3.0,,,,,,-2.0,,,,,,,,,
107,racecar_gym,axelbr/racecar_gym/,,ml,https://github.com/axelbr/racecar_gym,https://github.com/axelbr/racecar_gym,MIT,2020-08-15 08:26:44,2023-09-18 08:14:53,2023-09-18 08:14:48,301.0,,38.0,3.0,8.0,,12.0,234.0,2020-12-16 22:51:48,tracks-v1.0.0,6172.0,92.0,1.0,A gym environment for a miniature racecar using the pybullet physics engine.,,,,12,True,3.0,,,,,,,,,,,,,,,
108,AutoDRIVE Simulator,Tinker-Twins/AutoDRIVE,,domain,https://github.com/Tinker-Twins/AutoDRIVE/tree/AutoDRIVE-Simulator,https://github.com/Tinker-Twins/AutoDRIVE,BSD-2-Clause,2021-01-20 17:26:18,2026-03-28 09:13:45,2024-12-23 19:18:42,376.0,,39.0,5.0,4.0,,13.0,148.0,2024-03-17 04:13:33,Testbed-0.2.0,2983.0,45.0,11.0,An Integrated Cyber-Physical Ecosystem for Autonomous Driving Research and Education.,,,3.0,12,True,2.0,,,,,,,,,,,,,,,
109,UWSim,uji-ros-pkg/underwater_simulation,,maritime,https://www.irs.uji.es/uwsim/wiki/index.php?title=Installing_UWSim,https://github.com/uji-ros-pkg/underwater_simulation,GNU-gpl,2013-04-08 16:49:12,2022-05-27 01:45:56,2020-03-15 12:35:06,445.0,,61.0,24.0,31.0,18.0,39.0,111.0,,,,,,"UWSim-NET, the Underwater Simulator.",,,25.0,12,False,3.0,,,,,,,,,,,,,,,
110,OmniIsaacGymEnvs,isaac-sim/OmniIsaacGymEnvs,,ml,https://github.com/isaac-sim/OmniIsaacGymEnvs,https://github.com/isaac-sim/OmniIsaacGymEnvs,,2022-06-01 05:16:34,2024-06-06 20:11:32,2024-06-06 20:07:39,176.0,,219.0,17.0,9.0,118.0,52.0,1046.0,,,,,,Reinforcement Learning Environments for Omniverse Isaac Gym.,,,6.0,11,True,3.0,,,,,,,,,,,,,,,
111,PyBullet Gym,benelot/pybullet-gym,[],ml,https://pybullet.org/,https://github.com/benelot/pybullet-gym,MIT,2018-01-05 12:35:57,2021-10-16 08:35:41,2021-03-29 09:19:09,64.0,,122.0,8.0,20.0,30.0,27.0,880.0,,,,,,Open-source implementations of OpenAI Gym MuJoCo environments for use with the OpenAI Gym Reinforcement Learning..,,,14.0,11,True,3.0,,,,,,,,,,,,,,,
