,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,doc_url,labels,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,last_commit_pushed_at,commit_count,closed_issue_count,gitlab_id,gitlab_url
155,Simscape,,physics,https://www.mathworks.com/products/simscape.html,,,,,,Proprietary Software License,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
156,Roadrunner,,domain,https://www.mathworks.com/products/roadrunner.html,,,,,,Proprietary Software License,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
157,Reinforcement Learning Toolbox,,ml,https://www.mathworks.com/products/reinforcement-learning.html,,,,,,Proprietary Software License,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
158,RoSi,,robotics,https://www.robotec.ai/products,,,,,,Proprietary Software License,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
159,Moos-ivp,moos-ivp/moos-ivp,maritime,https://github.com/moos-ivp/moos-ivp,,,,18.0,,GPLv3 LGPLv3 and Commercial,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
160,Spleenlab simulator,,aerial,https://spleenlab.com/,,,,,,proprietary,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
161,Roblox,,game,https://www.roblox.com/,,,,,,proprietary,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
162,ProtoTwin,,robotics,https://prototwin.com/,,,,,,proprietary license,,,1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
163,UnrealZoo,UnrealZoo/unrealzoo-gym,ml,https://unrealzoo.site/,,,,6.0,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
164,ds sim,,maritime,https://bitbucket.org/whoidsl/ds_sim/src/master/,,,,,,,,,0,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
165,USARSim,,maritime,https://sourceforge.net/projects/usarsim/,,,,,,,,,0,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
166,swarm_sync_sim,shupx/swarm_sync_sim,aerial,https://github.com/shupx/swarm_sync_sim,,,,3.0,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
167,Isaac Drone Racer,kousheekc/isaac_drone_racer,aerial,https://github.com/kousheekc/isaac_drone_racer,,,,,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
168,Itomori,gustavo-moura/itomori,aerial,https://github.com/gustavo-moura/itomori,,,,,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
169,racecar_gym,axelbr/racecar_gym/,ml,https://github.com/axelbr/racecar_gym/,,,,,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
170,Project AirSim,iamaisim/ProjectAirSim,aerial,https://iamaisim.github.io/ProjectAirSim/,,,,18.0,,,,,0,,,,,,,,,,,,,True,,,,-19.0,,,,,,,,,,,,
171,optimAero PX4,optimAero/optimAeroPX4SIL,aerial,https://optim.aero/px4silsimulink.html,,,,,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
172,Crazyflow,utiasDSL/crazyflow,aerial,https://learnsyslab.github.io/crazyflow/,,2.0,2.0,11.0,,,,,0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
173,UW-Morse,eirikhex/UW-MORSE,maritime,https://github.com/eirikhex/UW-MORSE,,,,2.0,,,,,-1,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,
174,DWA_Algorithm_PYTHON,EricChen0104/DWA_Algorithm_PYTHON,flatsim,https://github.com/EricChen0104/DWA_Algorithm_PYTHON,,,,2.0,,,,,-1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
175,multi-agent_sim,tjards/multi-agent_sim,domain,https://github.com/tjards/multi-agent_sim,,,,2.0,,,,,-1,,,,,,,,,,,,,True,3.0,,,,,,,,,,,,,,,
