,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
23,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2026-04-29 09:27:22,2026-04-29 08:49:05,1788.0,586.0,472.0,39.0,1468.0,176.0,928.0,4579.0,2026-04-15 07:30:05,1.1.0,12.0,12.0,2.0,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,58.0,25,True,2.0,,,,,,,,,,,,,,,
24,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2026-04-28 15:04:24,2026-04-28 15:04:24,6035.0,44.0,552.0,59.0,487.0,41.0,328.0,2029.0,2026-04-09 10:09:06,1.3.0,36565.0,507.0,22.0,An open source flight dynamics & control software library.,,,72.0,25,True,2.0,,,,,1.0,,,,,,,,,,
25,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,248.0,19.0,66.0,167.0,75.0,1465.0,,,,399069.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3161.0,3161.0,23.0,25,True,3.0,pyrender,https://pypi.org/project/pyrender,399069.0,,,,,,,,,,,,
26,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2026-04-29 04:49:02,2026-04-24 13:28:03,3803.0,108.0,251.0,28.0,168.0,197.0,426.0,911.0,2026-04-24 14:36:44,3.0.3,29588.0,384.0,80.0,a basic OpenSCENARIO player.,,,91.0,25,True,2.0,,,,,,,,,,,,,,,
27,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2026-04-20 14:51:19,2026-04-20 14:49:53,470.0,8.0,131.0,15.0,221.0,17.0,67.0,893.0,2026-01-02 21:49:36,1.4.2,,31933.0,15.0,A collection of robotics simulation environments for reinforcement learning.,331.0,331.0,37.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,31933.0,,,,,,,,,,,,
28,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-04-28 16:12:45,2026-04-28 16:12:45,2455.0,66.0,350.0,111.0,1835.0,17.0,700.0,3687.0,2026-04-13 10:21:46,1.4.349,,,100.0,Open-Source Vulkan C++ API.,,,101.0,24,True,3.0,,,,,,,,,,,,,,,
29,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-04-28 16:12:45,2026-04-28 16:12:45,2455.0,66.0,350.0,111.0,1835.0,17.0,700.0,3687.0,2026-04-13 10:21:46,1.4.349,,,100.0,Open-Source Vulkan C++ API.,,,101.0,24,True,3.0,,,,,,,,,,,,,,,
30,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2026-04-07 18:30:53,2026-04-07 18:30:53,1420.0,5.0,831.0,26.0,125.0,72.0,411.0,3244.0,2025-10-18 14:15:47,1.10.2,,7735.0,17.0,A minimalist environment for decision-making in autonomous driving.,,,49.0,24,True,1.0,highway-env,https://pypi.org/project/highway-env,7735.0,,,,,,,,,,,,
31,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-11-04 06:09:29,2025-05-29 18:14:02,7768.0,,278.0,64.0,598.0,274.0,375.0,1714.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,394.0,394.0,53.0,24,True,2.0,,,,,,,,,,,,,,,
32,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2026-04-28 00:41:54,2026-04-22 12:39:53,1562.0,79.0,135.0,10.0,236.0,4.0,43.0,1070.0,2026-04-21 10:31:29,2.9.4,,5421.0,52.0,"A Python-based lightweight robot simulator designed for navigation, control, and learning.",16.0,16.0,14.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,5421.0,,,,,,,,,,,,
